data,tag,spe_tag,caption,label,pred
D:/Weather conditions driving classification data (All)/images/Rainy\frame1907.jpg,['traffic light | rain | traffic | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1908.jpg,['traffic light | fog | rain | highway | road | car | drive | green | wet'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1909.jpg,['traffic light | fog | rain | windshield | traffic | highway | intersection | light | road | car | drive | green'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame191.jpg,['rain | highway | road | car | truck | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1910.jpg,['traffic light | fog | rain | traffic | highway | light | road | car | drive | green'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1911.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1912.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1913.jpg,['rain | highway | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1914.jpg,['rain | traffic | highway | freeway | road | car | truck | drive | wet'],weather,a view of a two lane highway during a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1915.jpg,['fog | rain | highway | vehicle | road | car | drive'],weather,a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1916.jpg,['fog | rain | highway | freeway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1917.jpg,['fog | rain | traffic | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1918.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1919.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame192.jpg,['rain | traffic | highway | vehicle | road | street | car | drive | wet'],weather,a rainy day on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1920.jpg,['rain | windshield | night | highway | road | car | drive | dark'],weather,driving on a foggy country road at night time,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1921.jpg,['rain | highway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1922.jpg,['rain | windshield | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1923.jpg,['fog | rain | windshield | highway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1924.jpg,['fog | rain | windshield | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1925.jpg,['rain | traffic | highway | freeway | road | car | truck | drive | wet'],weather,a view of a car's windshield wiper on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1926.jpg,['rain | windshield | highway | road | car | drive'],weather,a view of a foggy car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1927.jpg,['fog | rain | highway | road | car | drive | white'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1928.jpg,['fog | rain | highway | vehicle | road | car | drive | white | wet'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1929.jpg,['rain | highway | vehicle | road | car | drive | white | wet'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame193.jpg,['rain | highway | freeway | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1930.jpg,['rain | highway | vehicle | road | car | drive | white | wet'],weather,a rainy day driving on a foggy country road,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1931.jpg,['rain | highway | vehicle | road | car | drive | red | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1932.jpg,['rain | highway | vehicle | road | car | drive | red | white'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1933.jpg,['rain | windshield | highway | freeway | vehicle | sign | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1934.jpg,['rain | windshield | highway | vehicle | road | picture | car | window | drive | white'],weather,a view of a car's dashboard through a windshield wiper,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1935.jpg,['rain | windshield | highway | vehicle | road | car | drive | red | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1936.jpg,['rain | traffic | highway | freeway | road | car | truck | drive | wet'],weather,a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1937.jpg,['rain | highway | vehicle | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1938.jpg,['rain | highway | vehicle | sign | road | car | tunnel | drive | travel'],weather,a view of a highway sign on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1939.jpg,['rain | highway | vehicle | road | car | tunnel | drive | travel'],weather,a view of a highway bridge during the day,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame194.jpg,['rain | highway | freeway | police car | vehicle | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1940.jpg,['rain | windshield | highway | vehicle | road | car | window | truck | drive | black'],weather,a view of a car's dashboard through a windshield wiper,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1941.jpg,['windshield | bridge | highway | vehicle | road | picture | car | tunnel | drive'],weather,a view of a highway bridge through a car windshield,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1942.jpg,['highway | road | car | tunnel'],weather,a view of a tunnel's side view mirror,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1943.jpg,['car | tunnel'],weather,a view of the inside of a metro tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1944.jpg,['light | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1945.jpg,['rain | car | tunnel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1946.jpg,['train | light | picture | car | tunnel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1947.jpg,['rain | traffic | highway | road | car | drive'],weather,driving on a rainy day on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1948.jpg,['train | light | car | tunnel'],weather,a time lapse shot of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1949.jpg,['rain | car | tunnel | drive | white'],weather,a view of the inside of a metro tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame195.jpg,['rain | highway | freeway | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1950.jpg,['car | tunnel | drive | white'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1951.jpg,['rain | vehicle | car | tunnel | drive | travel | white'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1952.jpg,['rain | vehicle | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1953.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1954.jpg,['light | car | tunnel | dark'],weather,driving through a tunnel tunnel at high speed,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1955.jpg,['car | tunnel | drive | travel | red'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1956.jpg,['car | tunnel | drive | red'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1957.jpg,['car | tunnel | drive | red | white'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1958.jpg,['rain | windshield | bridge | traffic | highway | freeway | vehicle | road | picture | car | drive'],weather,the view of a foggy day from a car windshield,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1959.jpg,['vehicle | car | tunnel | drive | travel | red | white'],weather,a view of a tunnel's interior during the day,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame196.jpg,['rain | highway | vehicle | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1960.jpg,['vehicle | car | tunnel | drive | red | white'],weather,a view of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1961.jpg,['vehicle | car | tunnel | drive | travel | white'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1962.jpg,['vehicle | car | tunnel | drive | travel | white'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1963.jpg,['vehicle | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1964.jpg,['traffic | vehicle | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1965.jpg,['rain | traffic | vehicle | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1966.jpg,['rain | vehicle | picture | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1967.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1968.jpg,['picture | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1969.jpg,['rain | traffic | highway | freeway | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame197.jpg,['rain | highway | vehicle | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1970.jpg,['traffic | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1971.jpg,['traffic | car | tunnel | drive'],weather,a view of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1972.jpg,['rain | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1973.jpg,['car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1974.jpg,['rain | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1975.jpg,['car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1976.jpg,['car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1977.jpg,['car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1978.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1979.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame198.jpg,['rain | highway | vehicle | road | car | drive | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1980.jpg,['rain | traffic | highway | vehicle | road | car | lane | drive | white'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1981.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1982.jpg,['light | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1983.jpg,['train | light | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1984.jpg,['light | car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1985.jpg,['train | light | car | tunnel | drive | red'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1986.jpg,['light | car | tunnel | drive | dark | red'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1987.jpg,['light | car | tunnel | drive | red'],weather,a view of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1988.jpg,['light | car | tunnel | drive | red'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1989.jpg,['night | traffic | highway | vehicle | light | car | tunnel | drive | red'],weather,a view of a car's dashboard in the dark,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame199.jpg,['rain | highway | van | vehicle | road | car | drive | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1990.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1991.jpg,['rain | traffic | highway | freeway | road | car | lane | drive | white'],weather,driving on a rainy day on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1992.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1993.jpg,['vehicle | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1994.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1995.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1996.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1997.jpg,['picture | car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1998.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1999.jpg,['night | light | car | tunnel | drive'],weather,a view of a tunnel's interior during the day,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2.jpg,['night | room | light | man | toilet | dark | black'],weather,a view of a streetlight in the dark,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame20.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame200.jpg,['rain | windshield | traffic | highway | vehicle | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2000.jpg,['light | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2001.jpg,['light | car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2002.jpg,['rain | traffic | highway | vehicle | road | car | lane | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2003.jpg,['rain | windshield | traffic | highway | freeway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2004.jpg,['highway | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2005.jpg,['night | highway | picture | car | tunnel | drive'],weather,a night time view of a tunnel's interior,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2006.jpg,['night | highway | car | tunnel | drive'],weather,a night time view of a highway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2007.jpg,['highway | car | tunnel | dark'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2008.jpg,['night | highway | car | tunnel | drive | dark'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2009.jpg,['night | highway | car | tunnel'],weather,a night time view of a tunnel's interior,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame201.jpg,['rain | highway | vehicle | road | car | truck | drive | travel | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2010.jpg,['night | highway | car | tunnel'],weather,a time lapse photo of a tunnel's interior,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2011.jpg,['car | tunnel | dark'],weather,a view of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2012.jpg,['night | highway | car | tunnel | dark'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2013.jpg,['highway | car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2014.jpg,['rain | traffic | highway | freeway | road | car | drive'],weather,a foggy day on the interstate on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2015.jpg,['night | car | tunnel | drive | dark'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2016.jpg,['night | highway | light | car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2017.jpg,['night | highway | car | tunnel | drive | dark'],weather,a night time view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2018.jpg,['night | highway | car | tunnel | drive | dark'],weather,a night time view of a tunnel's interior,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2019.jpg,['night | highway | light | car | tunnel | drive | dark'],weather,a night time view of a tunnel's interior,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame202.jpg,['rain | traffic | highway | police car | vehicle | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2020.jpg,['night | highway | light | car | tunnel | drive | dark'],weather,a night time shot of a tunnel's interior,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2021.jpg,['highway | car | tunnel | drive | dark'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2022.jpg,['night | highway | light | car | tunnel | drive | dark'],weather,a night time shot of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2023.jpg,['rain | night | highway | light | car | drive'],weather,a night time view of a night city,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2024.jpg,['night | highway | light | car | tunnel | drive | red'],weather,a night time shot of a night city,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2025.jpg,['rain | windshield | traffic | highway | freeway | sign | road | car | drive'],weather,a view of a rainy day on the interstate,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2026.jpg,['rain | night | highway | light | car | drive'],weather,a night time shot of driving in the dark,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2027.jpg,['night | traffic | highway | vehicle | light | car | drive'],weather,a night time shot of a car's dashboard,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2028.jpg,['night | traffic | highway | vehicle | light | car | drive'],weather,a night time shot of a night time traffic,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2029.jpg,['night | highway | vehicle | light | car | drive'],weather,a night time shot of a night time traffic,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame203.jpg,['rain | traffic | highway | vehicle | road | street | car | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2030.jpg,['night | highway | light | car | drive | dark'],weather,a night time shot of a night city,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2031.jpg,['night | highway | police car | light | car | drive'],weather,a night time photo of a night time traffic,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2032.jpg,['night | highway | light | car | tunnel | drive | dark'],weather,a night time view of a night city,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2033.jpg,['night | highway | vehicle | light | car | tunnel | drive | travel | dark | red'],weather,a night time shot of a night city,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2034.jpg,['night | highway | light | car | tunnel | drive | travel | dark'],weather,a night time shot of a night time tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2035.jpg,['night | traffic | highway | light | car | tunnel | drive | travel | dark'],weather,a night time shot of a night time tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2036.jpg,['rain | windshield | traffic | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2037.jpg,['night | light | car | tunnel | drive | dark'],weather,a night time view of the inside of a metro tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2038.jpg,['highway | car | tunnel | drive | dark'],weather,a night time view of a tunnel's interior,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2039.jpg,['night | highway | car | tunnel | drive | dark'],weather,a night time view of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame204.jpg,['rain | traffic | highway | vehicle | road | car | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2040.jpg,['night | highway | light | car | tunnel | drive'],weather,a time lapse image of a night traffic,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2041.jpg,['night | car | tunnel | drive | dark'],weather,a night time shot of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2042.jpg,['night | traffic | vehicle | car | tunnel | drive | travel | dark'],weather,a night time shot of the inside of a metro tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2043.jpg,['night | traffic | vehicle | car | tunnel | drive'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2044.jpg,['night | vehicle | car | tunnel | drive | travel | dark'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2045.jpg,['vehicle | light | car | tunnel | drive | travel | dark'],weather,a view of a tunnel's interior from the inside,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2046.jpg,['night | highway | vehicle | light | car | tunnel | drive | travel | dark'],weather,a night time tunnel going under a highway overpass,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2047.jpg,['rain | windshield | traffic | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2048.jpg,['vehicle | light | car | tunnel | drive | travel | dark'],weather,a night time tunnel going under a highway overpass,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2049.jpg,['rain | highway | vehicle | car | tunnel | drive | travel | dark | wet'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame205.jpg,['rain | highway | vehicle | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2050.jpg,['rain | highway | vehicle | car | tunnel | drive | travel | wet'],weather,a view of the inside of a tunnel entrance,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2051.jpg,['rain | highway | vehicle | light | road | street | car | tunnel | drive | travel'],weather,a view of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame2052.jpg,['fog | rain | highway | vehicle | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2053.jpg,['fog | rain | highway | vehicle | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2054.jpg,['rain | highway | vehicle | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2055.jpg,['rain | windshield | highway | vehicle | road | car | drive | travel | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2056.jpg,['rain | windshield | highway | vehicle | road | picture | car | drive | wet'],weather,driving on a rainy day on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2057.jpg,['rain | windshield | highway | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2058.jpg,['rain | windshield | traffic | highway | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2059.jpg,['rain | windshield | highway | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame206.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame2060.jpg,['fog | rain | windshield | highway | vehicle | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
